State,1880 North Lat,1880 West Long,1890 North Lat,1890 West Long,1900 North Lat,1900 West Long,1910 North Lat,1910 West Long,1920 North Lat,1920 West Long,1930 North Lat,1930 West Long,1940 North Lat,1940 West Long,1950 North Lat,1950 West Long,1960 North Lat,1960 West Long,1970 North Lat,1970 West Long,1980 North Lat,1980 West Long,1990 North Lat,1990 West Long,2000 North Lat,2000 West Long,2010 North Lat,2010 West Long,
Wyoming,42 10 48,106 39 14,42 24 46,106 36 27,42 32 14,106 52 39,42 42 00,107 00 07,42 48 58,106 54 38,42 48 51,106 53 59,42 48 57,106 56 16,42 37 43,106 49 51,42 39 15,106 45 31,42 40 09,106 46 59,42 39 24,106 56 05,42 38 13,106 58 46,42 40 33,107 00 32,42 41 49,107 01 09,

Census Year,Source
1880,"U.S. Department of Commerce, Bureau of the Census, Fourteenth Census of the United States, 1923"
1890,"U.S. Department of Commerce, Bureau of the Census, Fourteenth Census of the United States, 1923 (3)"
1900,"U.S. Department of Commerce, Bureau of the Census, Fourteenth Census of the United States, 1923"
1910,"U.S. Department of Commerce, Bureau of the Census, Fourteenth Census of the United States, 1923"
1920,"U.S. Department of Commerce, Bureau of the Census, Fourteenth Census of the United States, 1923"
1930,"U.S. Census Bureau, recomputation from historical county level data (1)"
1940,"U.S. Census Bureau, recomputation from historical county level data (1)"
1950,"U.S. Department of Commerce, Bureau of the Census, Centers of Population for States and Counties, 1974"
1960,"U.S. Department of Commerce, Bureau of the Census, Centers of Population for States and Counties, 1974"
1970,"U.S. Department of Commerce, Bureau of the Census, Centers of Population for States and Counties, 1974"
1980,"U.S. Census Bureau, Geography Division, recomputation from archived national BG/enumeration area data (2)"
1990,"U.S. Census Bureau, Geography Division, recomputation from archived national blockgroup (BG) data (2)"
2000,"U.S. Census Bureau, computation from national blocklevel data"

(1) The recomputation relied upon aggregate county level population data with an estimated county centroid resulting in a possible error of up to one mile.
(2) The recomputation relied upon data extracted from the national archives resulting in a possible error of up to 1000 feet.
(3) The north latitude for Mississippi that appears in the source material appears to be an error but is displayed here as in the report.  The description accompanying the center of population in the source material states it is 3.5 miles SE of Sallis, Attala County, Mississippi which does not correspond to the north latitude.  We believe the correct north latitude is 32 59 52.
